Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Unit_Cost,Sales_Channel,Payment_Method,Salesperson,Sales,Total_Cost,Profit,Profit_Margin,Order_Year,Order_Month,Order_Day
ORD-09420,2025-12-22,Office Chair,Furniture,Lahore,2,273.75,134.38,Corporate,Bank Transfer,Sara,547.5,268.76,278.74,50.91,2025,12,22
ORD-08769,2025-07-19,Desk,Furniture,Multan,6,682.28,387.99,Online,Bank Transfer,Hina,4093.68,2327.94,1765.74,43.13,2025,7,19
ORD-07657,2025-08-08,Laptop,Electronics,Peshawar,9,1148.24,659.54,Online,Bank Transfer,Hamza,10334.16,5935.86,4398.3,42.56,2025,8,8
ORD-00417,2025-03-02,Laptop,Electronics,Multan,2,1075.39,958.97,Retail Store,Bank Transfer,0,2150.78,1917.94,232.84,10.83,2025,3,2
ORD-03711,2025-12-12,Laptop,Electronics,Multan,10,1250.18,986.51,Online,Credit Card,Zoya,12501.8,9865.1,2636.7,21.09,2025,12,12
ORD-04783,2025-01-04,Printer,Office,Karachi,1,181.37,146.14,Retail Store,Debit Card,Danish,181.37,146.14,35.23,19.42,2025,1,4
ORD-04095,2025-09-02,Wireless Mouse,Accessories,Karachi,5,38.48,19.42,Corporate,JazzCash,Ali,192.4,97.1,95.3,49.53,2025,9,2
ORD-07552,2025-09-03,Desk,Furniture,Lahore,4,272.52,221.3,Corporate,Debit Card,Ali,1090.08,885.2,204.88,18.79,2025,9,3
ORD-07736,2025-05-19,Office Chair,Furniture,Peshawar,1,400.38,148.87,Retail Store,Bank Transfer,Zoya,400.38,148.87,251.51,62.82,2025,5,19
ORD-01394,2025-08-27,External SSD,Electronics,Faisalabad,10,285.74,78.98,Retail Store,Bank Transfer,Maham,2857.4,789.8,2067.6,72.36,2025,8,27
ORD-04113,2025-01-03,Laptop,Electronics,Faisalabad,5,1168.13,654.54,Retail Store,Debit Card,Ayesha,5840.65,3272.7,2567.95,43.97,2025,1,3
ORD-03880,2025-11-19,Smartphone,Electronics,Faisalabad,2,759.95,451.02,Corporate,Credit Card,Hamza,1519.9,902.04,617.86,40.65,2025,11,19
ORD-00108,2025-01-10,Keyboard,Accessories,Rawalpindi,3,113.83,46.89,Online,Cash,Hina,341.49,140.67,200.82,58.81,2025,1,10
ORD-07472,2025-08-06,Tablet,Electronics,Multan,7,455.31,248.16,Retail Store,Debit Card,Usman,3187.17,1737.12,1450.05,45.5,2025,8,6
ORD-00857,2025-06-18,Printer,Office,Karachi,2,290.85,232.5,Online,Bank Transfer,Usman,581.7,465.0,116.7,20.06,2025,6,18
ORD-08694,2025-05-02,Wireless Mouse,Accessories,Islamabad,1,67.31,34.85,Retail Store,JazzCash,Ali,67.31,34.85,32.46,48.22,2025,5,2
ORD-03106,2025-10-29,Tablet,Electronics,Islamabad,8,367.24,300.17,Retail Store,Bank Transfer,Usman,2937.92,2401.36,536.56,18.26,2025,10,29
ORD-05160,2025-05-02,Printer,Office,Rawalpindi,4,395.17,178.31,Online,Cash,Usman,1580.68,713.24,867.44,54.88,2025,5,2
ORD-06931,2025-04-20,Headphones,Accessories,Rawalpindi,1,202.93,119.61,Corporate,Bank Transfer,Sara,202.93,119.61,83.32,41.06,2025,4,20
ORD-00851,2025-09-14,Webcam,Accessories,Lahore,2,57.81,28.58,Corporate,JazzCash,Maham,115.62,57.16,58.46,50.56,2025,9,14
ORD-07383,2025-12-01,Laptop,Electronics,Faisalabad,1,1211.29,680.72,Retail Store,Debit Card,Hina,1211.29,680.72,530.57,43.8,2025,12,1
ORD-07360,2025-04-07,Laptop,Electronics,Peshawar,4,1304.96,970.72,Online,Debit Card,Usman,5219.84,3882.88,1336.96,25.61,2025,4,7
ORD-05378,2025-10-27,Printer,Office,Lahore,3,496.41,350.48,Corporate,Credit Card,Ali,1489.23,1051.44,437.79,29.4,2025,10,27
ORD-09491,2025-09-01,Headphones,Accessories,Multan,4,212.63,92.73,Online,Credit Card,Ayesha,850.52,370.92,479.6,56.39,2025,9,1
ORD-01563,2025-03-22,Office Chair,Furniture,Lahore,1,411.45,191.3,Online,Bank Transfer,Zoya,411.45,191.3,220.15,53.51,2025,3,22
ORD-06095,2025-08-09,Monitor,Electronics,Islamabad,6,411.36,289.4,Retail Store,Credit Card,Ayesha,2468.16,1736.4,731.76,29.65,2025,8,9
ORD-08340,2025-01-30,Tablet,Electronics,Lahore,9,356.21,221.46,Corporate,Bank Transfer,Bilal,3205.89,1993.14,1212.75,37.83,2025,1,30
ORD-06936,2025-08-12,Wireless Mouse,Accessories,Islamabad,2,20.55,16.94,Corporate,Bank Transfer,Maham,41.1,33.88,7.22,17.57,2025,8,12
ORD-05748,2025-06-03,Printer,Office,Lahore,9,358.42,267.6,Retail Store,JazzCash,Usman,3225.78,2408.4,817.38,25.34,2025,6,3
ORD-01727,2025-10-12,Printer,Office,Lahore,6,206.28,130.56,Retail Store,Cash,Maham,1237.68,783.36,454.32,36.71,2025,10,12
ORD-09069,2025-06-06,External SSD,Electronics,Lahore,6,130.57,101.18,Corporate,JazzCash,Hina,783.42,607.08,176.34,22.51,2025,6,6
ORD-04343,2025-08-17,Wireless Mouse,Accessories,Peshawar,2,29.28,17.12,Corporate,Debit Card,Ali,58.56,34.24,24.32,41.53,2025,8,17
