Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Unit_Cost,Sales_Channel,Payment_Method,Salesperson,Sales,Total_Cost,Profit,Profit_Margin
ORD-09420,12/22/2025,Office Chair,Furniture,Lahore,2,273.75,134.38,Corporate,Bank Transfer,Sara,547.5,268.76,278.74,50.91
ORD-08769,7/19/2025,Desk,Furniture,Multan,6,682.28,387.99,Online,Bank Transfer,Hina,4093.68,2327.94,1765.74,43.13
ORD-07657,8/8/2025,Laptop,Electronics,Peshawar,9,1148.24,659.54,Online,Bank Transfer,Hamza,10334.16,5935.86,4398.3,42.56
ORD-00417,3/2/2025,Laptop,Electronics,Multan,2,1075.39,958.97,Retail Store,Bank Transfer,,2150.78,1917.94,232.84,10.83
ORD-03711,12/12/2025,Laptop,Electronics,Multan,10,1250.18,986.51,Online,Credit Card,Zoya,12501.8,9865.1,2636.7,21.09
ORD-04783,1/4/2025,Printer,Office,Karachi,1,181.37,146.14,Retail Store,Debit Card,Danish,181.37,146.14,35.23,19.42
ORD-04095,9/2/2025,Wireless Mouse,Accessories,Karachi,5,38.48,19.42,Corporate,JazzCash,Ali,192.4,97.1,95.3,49.53
ORD-07552,9/3/2025,Desk,Furniture,Lahore,4,272.52,221.3,Corporate,Debit Card,Ali,1090.08,885.2,204.88,18.79
ORD-07736,5/19/2025,Office Chair,Furniture,Peshawar,1,400.38,148.87,Retail Store,Bank Transfer,Zoya,400.38,148.87,251.51,62.82
ORD-01394,8/27/2025,External SSD,Electronics,Faisalabad,10,285.74,78.98,Retail Store,Bank Transfer,Maham,2857.4,789.8,2067.6,72.36
ORD-04113,1/3/2025,Laptop,Electronics,Faisalabad,5,1168.13,654.54,Retail Store,Debit Card,Ayesha,5840.65,3272.7,2567.95,43.97
ORD-03880,11/19/2025,Smartphone,Electronics,Faisalabad,2,759.95,451.02,Corporate,Credit Card,Hamza,1519.9,902.04,617.86,40.65
ORD-00108,1/10/2025,Keyboard,Accessories,Rawalpindi,3,113.83,46.89,Online,Cash,Hina,341.49,140.67,200.82,58.81
ORD-07472,8/6/2025,Tablet,Electronics,Multan,7,455.31,248.16,Retail Store,Debit Card,Usman,3187.17,1737.12,1450.05,45.5
ORD-00857,6/18/2025,Printer,Office,Karachi,2,290.85,232.5,Online,Bank Transfer,Usman,581.7,465,116.7,20.06
ORD-08694,5/2/2025,Wireless Mouse,Accessories,Islamabad,1,67.31,34.85,Retail Store,JazzCash,Ali,67.31,34.85,32.46,48.22
ORD-03106,10/29/2025,Tablet,Electronics,Islamabad,8,367.24,300.17,Retail Store,Bank Transfer,Usman,2937.92,2401.36,536.56,18.26
ORD-05160,5/2/2025,Printer,Office,Rawalpindi,4,395.17,178.31,Online,Cash,Usman,1580.68,713.24,867.44,54.88
ORD-06931,4/20/2025,Headphones,Accessories,Rawalpindi,1,202.93,119.61,Corporate,Bank Transfer,Sara,202.93,119.61,83.32,41.06
ORD-00851,9/14/2025,Webcam,Accessories,Lahore,2,57.81,28.58,Corporate,JazzCash,Maham,115.62,57.16,58.46,50.56
ORD-07383,12/1/2025,Laptop,Electronics,Faisalabad,1,1211.29,680.72,Retail Store,Debit Card,Hina,1211.29,680.72,530.57,43.8
ORD-07360,4/7/2025,Laptop,Electronics,Peshawar,4,1304.96,970.72,Online,Debit Card,Usman,5219.84,3882.88,1336.96,25.61
ORD-05378,10/27/2025,Printer,Office,Lahore,3,496.41,350.48,Corporate,Credit Card,Ali,1489.23,1051.44,437.79,29.4
ORD-09491,9/1/2025,Headphones,Accessories,Multan,4,212.63,92.73,Online,Credit Card,Ayesha,850.52,370.92,479.6,56.39
ORD-01563,3/22/2025,Office Chair,Furniture,Lahore,1,411.45,191.3,Online,Bank Transfer,Zoya,411.45,191.3,220.15,53.51
ORD-06095,8/9/2025,Monitor,Electronics,Islamabad,6,411.36,289.4,Retail Store,Credit Card,Ayesha,2468.16,1736.4,731.76,29.65
ORD-08340,1/30/2025,Tablet,Electronics,Lahore,9,356.21,221.46,Corporate,Bank Transfer,Bilal,3205.89,1993.14,1212.75,37.83
ORD-06936,8/12/2025,Wireless Mouse,Accessories,Islamabad,2,20.55,16.94,Corporate,Bank Transfer,Maham,41.1,33.88,7.22,17.57
